source_city,city_id,region_id,matched_label
warszawa,17871,2,"Warszawa, Mazowieckie"
krakow,8959,4,"Kraków, Małopolskie"
lodz,10609,7,"Łódź, Łódzkie"
wroclaw,19701,3,"Wrocław, Dolnośląskie"
poznan,13983,1,"Poznań, Wielkopolskie"
gdansk,5659,5,"Gdańsk, Pomorskie"
szczecin,16705,11,"Szczecin, Zachodniopomorskie"
bydgoszcz,4019,15,"Bydgoszcz, Kujawsko-pomorskie"
lublin,10119,8,"Lublin, Lubelskie"
bialystok,1079,18,"Białystok, Podlaskie"
katowice,7691,6,"Katowice, Śląskie"
gdynia,5849,5,"Gdynia, Pomorskie"
czestochowa,4765,6,"Częstochowa, Śląskie"
radom,14673,2,"Radom, Mazowieckie"
rzeszow,15241,17,"Rzeszów, Podkarpackie"
sosnowiec,16027,6,"Sosnowiec, Śląskie"
torun,38395,15,"Toruń, Kujawsko-pomorskie"
kielce,7971,13,"Kielce, Świętokrzyskie"
gliwice,6091,6,"Gliwice, Śląskie"
zabrze,20327,6,"Zabrze, Śląskie"
olsztyn,12673,14,"Olsztyn, Warmińsko-mazurskie"
bielsko-biala,3231,6,"Bielsko-Biała, Śląskie"
bytom,4197,6,"Bytom, Śląskie"
zielona-gora,20787,9,"Zielona Góra, Lubuskie"
rybnik,15167,6,"Rybnik, Śląskie"
ruda-slaska,15041,6,"Ruda Śląska, Śląskie"
opole,12885,12,"Opole, Opolskie"
tychy,17705,6,"Tychy, Śląskie"
gorzow-wielkopolski,6331,9,"Gorzów Wielkopolski, Lubuskie"
dabrowa-gornicza,4905,6,"Dąbrowa Górnicza, Śląskie"
plock,13663,2,"Płock, Mazowieckie"
elblag,5453,14,"Elbląg, Warmińsko-mazurskie"
walbrzych,17829,3,"Wałbrzych, Dolnośląskie"
chorzow,22611,6,"Chorzów, Śląskie"
